AR_ID,State,Dam_Name,ar_river,ar_year,ar_lat,ar_lon,tier,note,nacc_SARPID,nacc_Name,nacc_River,nacc_lat,nacc_lon,nacc_NHDPlusID,nacc_NIDID,nacc_Removed,nacc_YearRemoved,nacc_Snapped,nacc_HUC12,nacc_Source,nacc_TotalUpstreamMiles,nacc_PerennialUpstreamMiles,nacc_GainMiles,nacc_FunctionalNetworkMiles,nacc_HasNetwork,nacc_UpstreamBarrier,nacc_UpstreamBarrierMiles,dist_m
CA-001,CA,Big Creek Manufacturing Dam,Big Creek,,,,UNLINKED,,,,,,,,,,,,,,,,,,,,,
CA-002,CA,Minnie Reeves Dam,Indian Creek,2002,40.63811,-122.908,T1_NABI,,CA98012,Indian Creek Ranch Dam Removal,Indian Creek,40.638233,-122.90827,5.0000400203651e+13,,yes,2005,true,180102110704,CA PAD June 20 2023,77.747,15.897,77.747,1645.089,yes,,-1,26.572408032360105
CA-003,CA,Lone Jack Dam,Trinity River (East Fork of North Fork),,,,UNLINKED,,,,,,,,,,,,,,,,,,,,,
CA-004,CA,Arco Pond Dam,,,,,UNLINKED,,,,,,,,,,,,,,,,,,,,,
CA-005,CA,Trout Haven Dam,Monkey Creek,,41.89046,-123.815,T1_NABI,,CA103153,Trout Haven Dam,Monkey Creek,41.890247,-123.81497,5.0000400133933e+13,,yes,1996,true,180101010204,CA PAD June 20 2023,31.526,5.866,31.526,1358.127,yes,,-1,23.8143478338264
CA-006,CA,Salt Creek Dam,Salt Creek,,39.29306,-122.795,T1_NABI,,CA625815,Salt Creek Dam,Salt Creek,39.293064,-122.795,5.0000400035161e+13,,yes,0,true,180101030101,American Rivers Dam Removal Database,13.727,1.662,13.727,960.768,yes,,-1,0.4447797069222492
CA-007,CA,Lower Murphy Dam,Home Bay,,38.06938,-122.918,T1_NABI,,CA102763,Lower Murphy Dam,Home Ranch Creek,38.069878,-122.91784,5.0000300006033e+13,,yes,0,true,180500050501,CA PAD June 20 2023,20.002,0.995,20.002,20.056,yes,,-1,57.118963011786555
CA-008,CA,Upper Murphy Dam,Home Ranch Creek,,38.08526,-122.904,T1_NABI,,CA102836,Upper Murphy Dam,Home Ranch Creek,38.085285,-122.90437,5.0000300020806e+13,,yes,0,true,180500050501,CA PAD June 20 2023,2.609,0.147,2.609,19.326,yes,,-1,32.50180086952345
CA-009,CA,Russell Dam (Hinkley Dam),Hayfork Creek,1922,,,T2_SOURCEID,,CA969296,Russell Dam (Hinkley Dam),Hayfork Creek,40.63183,-123.4162,5.0000400145153e+13,,yes,1922,true,180102120305,American Rivers Dam Removal Database,0.354,0.354,0.354,2380.95,yes,,-1,
CA-010,CA,Hessellwood Dam,Hayfork Creek,1925,,,UNLINKED,,,,,,,,,,,,,,,,,,,,,
CA-011,CA,Henry Danninbrink Dam,Canyon Creek,1927,,,UNLINKED,,,,,,,,,,,,,,,,,,,,,
CA-012,CA,Anderline Dam,Rush Creek,1936,,,UNLINKED,,,,,,,,,,,,,,,,,,,,,
CA-013,CA,D.B. Fields/Johnson Dam,Rice Creek,1946,39.29508,-123.399,T1_NABI,,CA102743,Johnson Dam (Historical),Rice Creek,39.295395,-123.39947,5.0000400188157e+13,,yes,1946,true,180101080302,CA PAD June 20 2023,12.412,5.003,12.412,31.219,yes,,-1,53.503626258463335
CA-014,CA,Bonally Mining Co. Dam,Salmon River (North Fork),1946,,,UNLINKED,,,,,,,,,,,,,,,,,,,,,
CA-015,CA,Trinity Cty. Water & Power Co. Dam,Trinity River (East Fork),1946,,,UNLINKED,,,,,,,,,,,,,,,,,,,,,
CA-016,CA,D.B. Fields Dam,Indian Creek,1947,,,UNLINKED,,,,,,,,,,,,,,,,,,,,,
CA-017,CA,Altoona Dam,Kidder Creek,1947,,,UNLINKED,,,,,,,,,,,,,,,,,,,,,
CA-018,CA,Three C. Picket Dam,Beaver Creek,1949,,,UNLINKED,,,,,,,,,,,,,,,,,,,,,
CA-019,CA,Big Nugget Mine Dam,Horse Creek,1949,,,UNLINKED,,,,,,,,,,,,,,,,,,,,,
CA-020,CA,Moser Dam,Swillup Creek,1949,,,UNLINKED,,,,,,,,,,,,,,,,,,,,,
CA-021,CA,Todd Dam,Trinity River (East Fork of North Fork),1949,,,UNLINKED,,,,,,,,,,,,,,,,,,,,,
CA-022,CA,Smith Dam,White's Gulch,1949,,,UNLINKED,"2 name hits, 0 survived validation",,,,,,,,,,,,,,,,,,,,
