"AR_ID","dam","state","species","source","nearest_m","nearest_passes","nearest_attrs","nearest_stream","nearest_passing_m","passing_stream","same_stream_m","name_equal","rule_base","rule_same_stream","verdict"
"CA-006","Salt Creek Dam","CA","Bridgelip sucker","(none)",NA,NA,"",NA,NA,NA,NA,NA,"n/a","n/a","NO CA SOURCE, by design: not native to California"
"CA-006","Salt Creek Dam","CA","Bull trout","(none)",NA,NA,"",NA,NA,NA,NA,NA,"n/a","n/a","NO CA SOURCE, by design: extirpated in California (McCloud River, not seen since the mid-1970s)"
"CA-006","Salt Creek Dam","CA","Chinook salmon","PISCES Oncorhynchus_tshawytscha_SOT05",41436,TRUE,"HUC12 range",NA,41436,NA,NA,NA,"no","n/a (range)","outside the range by 41436 m"
"CA-006","Salt Creek Dam","CA","Chinook salmon","PISCES Oncorhynchus_tshawytscha_SOT07",41436,TRUE,"HUC12 range",NA,41436,NA,NA,NA,"no","n/a (range)","outside the range by 41436 m"
"CA-006","Salt Creek Dam","CA","Chinook salmon","PISCES Oncorhynchus_tshawytscha_SOT08",41436,TRUE,"HUC12 range",NA,41436,NA,NA,NA,"no","n/a (range)","outside the range by 41436 m"
"CA-006","Salt Creek Dam","CA","Chinook salmon","PISCES Oncorhynchus_tshawytscha_SOT01",96488,TRUE,"HUC12 range",NA,96488,NA,NA,NA,"no","n/a (range)","outside the range by 96488 m"
"CA-006","Salt Creek Dam","CA","Chinook salmon","PISCES Oncorhynchus_tshawytscha_SOT02",96488,TRUE,"HUC12 range",NA,96488,NA,NA,NA,"no","n/a (range)","outside the range by 96488 m"
"CA-006","Salt Creek Dam","CA","Chinook salmon","PISCES Oncorhynchus_tshawytscha_SOT03",207098,TRUE,"HUC12 range",NA,207098,NA,NA,NA,"no","n/a (range)","outside the range by 207098 m"
"CA-006","Salt Creek Dam","CA","Chinook salmon","NOAA ds981 CA Coastal Chinook",NA,NA,"",NA,NA,NA,NA,NA,"no","no","nothing within 1 km"
"CA-006","Salt Creek Dam","CA","Chinook salmon","NOAA ds982 CV spring Chinook",NA,NA,"",NA,NA,NA,NA,NA,"no","no","nothing within 1 km"
"CA-006","Salt Creek Dam","CA","Chum salmon","(none)",NA,NA,"",NA,NA,NA,NA,NA,"n/a","n/a","NO CA SOURCE, by design: strays only, no California source"
"CA-006","Salt Creek Dam","CA","Coastal cutthroat trout","PISCES Oncorhynchus_clarki_clarki_SOC01",149190,TRUE,"HUC12 range",NA,149190,NA,NA,NA,"no","n/a (range)","outside the range by 149190 m"
"CA-006","Salt Creek Dam","CA","Coho salmon","CDFW ds326 coho",NA,NA,"",NA,NA,NA,NA,NA,"no","no","nothing within 1 km"
