AR_ID,dam,state,species,nacc,nacc_where,ours,nacc_upstream_mi,nacc_downstream_mi,nacc_sarpid
CA-002,Minnie Reeves Dam,CA,Chinook salmon,absent,,present,0.0,0.0,CA98012
CA-002,Minnie Reeves Dam,CA,Coho salmon,absent,,present,0.0,0.0,CA98012
CA-002,Minnie Reeves Dam,CA,Steelhead,absent,,present,0.0,0.0,CA98012
CA-002,Minnie Reeves Dam,CA,Pacific lamprey,absent,,absent,0.0,0.0,CA98012
CA-002,Minnie Reeves Dam,CA,Coastal cutthroat trout,absent,,absent,0.0,0.0,CA98012
CA-002,Minnie Reeves Dam,CA,Chum salmon,absent,,absent,,,CA98012
CA-002,Minnie Reeves Dam,CA,Sockeye salmon,absent,,absent,,,CA98012
CA-002,Minnie Reeves Dam,CA,Pink salmon,absent,,absent,,,CA98012
CA-002,Minnie Reeves Dam,CA,Bull trout,absent,,absent,,,CA98012
CA-002,Minnie Reeves Dam,CA,Redband trout,absent,,absent,0.0,0.0,CA98012
CA-005,Trout Haven Dam,CA,Chinook salmon,present,downstream only,present,0.0,22.542,CA103153
CA-005,Trout Haven Dam,CA,Coho salmon,present,downstream only,present,0.0,30.263,CA103153
CA-005,Trout Haven Dam,CA,Steelhead,present,downstream only,present,0.0,56.789,CA103153
CA-005,Trout Haven Dam,CA,Pacific lamprey,absent,,absent,0.0,0.0,CA103153
CA-005,Trout Haven Dam,CA,Coastal cutthroat trout,present,upstream,present,2.619,189.67,CA103153
CA-005,Trout Haven Dam,CA,Chum salmon,absent,,absent,,,CA103153
CA-005,Trout Haven Dam,CA,Sockeye salmon,absent,,absent,,,CA103153
CA-005,Trout Haven Dam,CA,Pink salmon,absent,,absent,,,CA103153
CA-005,Trout Haven Dam,CA,Bull trout,absent,,absent,,,CA103153
CA-005,Trout Haven Dam,CA,Redband trout,absent,,absent,0.0,0.0,CA103153
CA-006,Salt Creek Dam,CA,Chinook salmon,absent,,absent,0.0,0.0,CA625815
CA-006,Salt Creek Dam,CA,Coho salmon,absent,,absent,0.0,0.0,CA625815
CA-006,Salt Creek Dam,CA,Steelhead,absent,,absent,0.0,0.0,CA625815
CA-006,Salt Creek Dam,CA,Pacific lamprey,absent,,absent,0.0,0.0,CA625815
