"AR_ID","dam","state","lat","lon","species","position","edge_m","matches_now","fragile"
"CA-186","Iron Gate Dam","CA",41.9349,-122.4367,"Chinook salmon","outside",0.24,"yes","matched BY the tolerance (rule 41)"
"CA-186","Iron Gate Dam","CA",41.9349,-122.4367,"Klamath largescale sucker","inside",0.24,"yes","INSIDE EDGE, within tolerance of falling out"
"CA-186","Iron Gate Dam","CA",41.9349,-122.4367,"Lost River sucker","inside",0.24,"yes","INSIDE EDGE, within tolerance of falling out"
"CA-186","Iron Gate Dam","CA",41.9349,-122.4367,"Shortnose sucker","inside",0.24,"yes","INSIDE EDGE, within tolerance of falling out"
"CA-082","Bonde Weir","CA",37.44744,-122.17,"Green sturgeon","outside",43.53,"yes","matched BY the tolerance (rule 41)"
"CA-071","Percolation Dam","CA",38.52162,-121.965,"Chinook salmon","inside",184.57,"yes",""
"CA-071","Percolation Dam","CA",38.52162,-121.965,"Green sturgeon","inside",184.57,"yes",""
"CA-071","Percolation Dam","CA",38.52162,-121.965,"Western river lamprey","inside",184.57,"yes",""
"CA-103","McGowan Dam","CA",39.56272,-121.82847,"Western river lamprey","outside",195.06,"no",""
"CA-114","Dennett Dam","CA",37.62733,-120.98784,"Chinook salmon","inside",251.21,"yes",""
"CA-114","Dennett Dam","CA",37.62733,-120.98784,"Western river lamprey","inside",251.21,"yes",""
"CA-057","Haypress Pond Dam","CA",37.86288,-122.547,"Green sturgeon","outside",391.92,"no",""
"CA-066","Rooney Bros Dam","CA",38.35819,-121.343,"Chinook salmon","inside",490.16,"yes",""
"CA-066","Rooney Bros Dam","CA",38.35819,-121.343,"Western river lamprey","outside",490.16,"no",""
"CA-175","Little Shasta River Flashboard Dam","CA",41.72226,-122.37027,"Chinook salmon","outside",492.77,"no",""
"CA-071","Percolation Dam","CA",38.52162,-121.965,"White sturgeon","outside",685,"no",""
"CA-080","Bear Creek Dam #3","CA",37.41515,-122.243,"Green sturgeon","outside",727.94,"no",""
