"AR_ID","dam","state","lat","lon","river_recorded","stream_name","rule40_agrees","nearest_m","dam_name_names_this_stream","dam_name_names_recorded_river","species_here"
"CA-175","Little Shasta River Flashboard Dam","CA",41.72226,-122.37027,"Little Shasta River","Little Shasta River",TRUE,7.3,TRUE,TRUE,"Coho salmon; Coho salmon (SONCC, derived); Steelhead"
"CA-186","Iron Gate Dam","CA",41.9349,-122.4367,"Klamath River","Klamath River",TRUE,95.1,FALSE,FALSE,"Coho salmon; Coho salmon (SONCC, derived); Pacific lamprey; Steelhead"
"CA-186","Iron Gate Dam","CA",41.9349,-122.4367,"Klamath River"," ",FALSE,149.1,FALSE,FALSE,"Steelhead"
"OR-015","Buck & Jones Diversion Dam","OR",42.17507,-123.003,"Little Applegate River","Little Applegate River",TRUE,79.2,FALSE,FALSE,"Coastal cutthroat trout; Pacific lamprey; Steelhead"
"OR-015","Buck & Jones Diversion Dam","OR",42.17507,-123.003,"Little Applegate River","(unnamed)",FALSE,79.2,FALSE,FALSE,"Coastal cutthroat trout"
"OR-015","Buck & Jones Diversion Dam","OR",42.17507,-123.003,"Little Applegate River","Sterling Creek",FALSE,424.6,FALSE,FALSE,"Coastal cutthroat trout; Pacific lamprey; Steelhead"
"OR-027","Fivemile Creek Irrigation Diversion Dam","OR",42.4693,-121.1135,"Fivemile Creek","Fivemile Creek",TRUE,5,TRUE,TRUE,"Redband trout; Steelhead"
"OR-027","Fivemile Creek Irrigation Diversion Dam","OR",42.4693,-121.1135,"Fivemile Creek","North Fork Sprague River",FALSE,362.8,FALSE,TRUE,"Chinook salmon; Redband trout; Steelhead"
"OR-040","Sandy River Delta Dam ","OR",45.55352,-122.378,"Sandy River","(unnamed)",FALSE,98.1,FALSE,TRUE,"Chinook salmon; Coastal cutthroat trout; Coho salmon; Steelhead"
"OR-040","Sandy River Delta Dam ","OR",45.55352,-122.378,"Sandy River","Unnamed trib to Columbia River",FALSE,98.1,FALSE,TRUE,"Chinook salmon"
"OR-040","Sandy River Delta Dam ","OR",45.55352,-122.378,"Sandy River","Sandy River",TRUE,278.1,TRUE,TRUE,"Chinook salmon; Chum salmon; Coastal cutthroat trout; Coho salmon; Eulachon; Largescale sucker; Mountain whitefish; Pacific lamprey; Steelhead"
"OR-046","Pine Meadow Ranch Dam ","OR",44.26825,-121.558,"Whychus Creek","Whychus Creek",TRUE,19.7,FALSE,FALSE,"Bridgelip sucker; Chinook salmon; Largescale sucker; Redband trout; Steelhead"
"OR-049","Canyon Creek Meadows Dam","OR",44.2368,-118.7719,"Canyon Creek","Canyon Creek",TRUE,82.7,TRUE,TRUE,"Redband trout"
"OR-062","Kelley Creek Dam","OR",45.46596,-122.49294,"Kelley Creek, tributary to Johnson Creek","Kelly Creek",FALSE,311.2,FALSE,TRUE,"Coho salmon; Steelhead"
"OR-062","Kelley Creek Dam","OR",45.46596,-122.49294,"Kelley Creek, tributary to Johnson Creek","Kelley Creek",TRUE,311.2,TRUE,TRUE,"Coastal cutthroat trout"
