"key","dam","table6_unit","basin_sqmi","km_removed_marginal","km_removed_alone","streams_alone"
"agate","Agate Dam","17100307",14.63,0,0,""
"fish_lake","Fish Lake Dam","17100307",15.35,0,0,""
"willow","Willow Creek (Willow Lake)","17100307",28.86,0,0,""
"lost_creek","William L. Jess Dam (Lost Creek Lake)","17100307",687.65,0,0,""
"emigrant","Emigrant Dam","17100308",63.88,0,0,""
"applegate","Applegate Dam","17100309",222.42,0,0,""
"selmac","Selmac Lake Dam (NID 'Mcmullen Creek')","17100311",13.54,0,0,""
"iron_gate","Iron Gate Dam (removed 2024)","18010206",8240.95,0,59.1,"Klamath River; Spencer Creek"
"dwinnell","Dwinnell Dam (NID 'Shasta River')","18010207",126.1,0,0,""
"lewiston","Lewiston Dam","18010211",718.36,0,0,""
"scott","Scott Dam (Lake Pillsbury)","18010103",288.92,0,0,""
