"AR_ID","Dam_Name","old_m","new_m","change"
"CA-002","Minnie Reeves Dam",153275,2,"added"
"CA-005","Trout Haven Dam",12271,24,"added"
"CA-009","Russell Dam (Hinkley Dam)",154114,0,"added"
"CA-029","Sweasey Dam",131679,9,"added"
"CA-033","Upper Dam (Lost Man Dam)",74772,15,"added"
"CA-065","Araujo Dam",40223,1,"added"
"CA-101","Benbow Dam",216041,20,"added"
"CA-174","Grenada Irrigation District Dam",35265,2,"added"
"CA-175","Little Shasta River Flashboard Dam",35359,140,"added"
"CA-181","Cedar Creek Hatchery Dam",241512,13,"added"
"CA-186","Iron Gate Dam",22181,95,"added"
"OR-004","Jackson Street Dam",49,58,"both"
"OR-005","Alphonso Dam",32,30,"both"
"OR-007","Lithia Park Dam 1",7,9,"both"
"OR-008","Lithia Park Dam 2",8,11,"both"
"OR-009","Lithia Park Dam 3",21,17,"both"
"OR-010","Krouse-Haggar Push-up Dam",5,4,"both"
"OR-011","Byrne Diversion Dam",10,5,"both"
"OR-012","Maple Gulch Diversion Dam",235,233,"both"
"OR-020","Elk Creek Dam",17,18,"both"
"OR-021","Gold Hill Dam",33,42,"both"
"OR-023","Savage Rapids Dam",58,48,"both"
"OR-024","Gold Ray Dam",45,40,"both"
"OR-042","Tokay Canal Dam ",18,19,"both"
"OR-050","Fielder Dam",11,12,"both"
"OR-051","Wimer Dam",16,12,"both"
"OR-053","Million Irrigation Ditch Dam",9,4,"both"
"OR-055","Beeson-Robinson Diversion Dam",14,1,"both"
"OR-056","C-2 Meyers 1",30,21,"both"
"OR-058","Forest Creek Dam",4,2,"both"
"OR-061","Smith-Meyer-Roper Dam",2,4,"both"
"OR-063","Lower Bridgepoint Dam",28,19,"both"
"OR-066","South Fork Big Butte Dam",250,250,"both"
"OR-067","Sardine Creek Dam",9,8,"both"
"OR-069","Penzer Diversion Dam",6,6,"both"
"OR-071","Palmer Creek Dam",14,16,"both"
"OR-075","Harboldt Dam",21,9,"both"
"OR-079","Welter Creek Dams #1 and #2",63,62,"both"
"OR-080","Farmers Ditch Irrigation Dam",16,31,"both"
"OR-089","Lost Creek Dam",16,19,"both"
"OR-090","Lovelace Dam ",14,12,"both"
"OR-094","Takelma Creek Dam",4,5,"both"
"OR-097","Pomeroy Dam",35,34,"both"
"OR-098","Williams-Whalen Dam",0,3,"both"
"OR-096","John C. Boyle Dam",12,33545,"dropped"
